Original Review,Cleaned Review,Sentiment,Confidence
"I just visited here again and had a really good time.Food and ambience is just awesome,kids enjoyed it a lot.
The staff is really helpful and looks after us very well. …",visited really good timefood ambience awesomekids enjoyed lot staff really helpful looks us well,POSITIVE,0.9997218251228333
"We are so happy to hear that. Thank you so much for the feedback. Hope to see you again, very soon.",happy hear thank much feedback hope see soon,POSITIVE,0.9998513460159302
"Made my day ❤️❤️❤️
Yesterday xero degree RDC Rajnagar.
It was really amazing restaurant with lovely ambience and interiors …",made day yesterday xero degree rdc rajnagar really amazing restaurant lovely ambience interiors,POSITIVE,0.9997287392616272
"Recently I visited Xero Degrees cafe for the first time in RDC and believe me it was a great experience. The staff, ambiance, music, food each thing was quite awesome. Every dish was so yummy and loved the presentation. …",recently visited xero degrees cafe first time rdc believe great experience staff ambiance music food thing quite awesome every dish yummy loved presentation,POSITIVE,0.999180018901825
"Dear Nidhi,
Thank you for your detailed feedback! We're thrilled to hear that you enjoyed our pizza and chicken strips. Your kind words about the taste and texture mean a … More",dear nidhi thank detailed feedback thrilled hear enjoyed pizza chicken strips kind words taste texture mean,POSITIVE,0.9875857830047607
"We like few things from their menu, but we don’t prefer going there because they take over 45 mints to an hour to bring each item. The same thing happened today, firstly the waiter kept us waiting for some time to take the order because he …",like things menu dont prefer going take mints hour bring item thing happened today firstly waiter kept us waiting time take order,NEGATIVE,0.9108424782752991
"Dear Akwani,
Thank you so much for the lovely feedback! We're thrilled to hear that you had such a wonderful experience at Xero Degrees Cafe. Our heart-shaped Xero Degree … More",dear akwani thank much lovely feedback thrilled hear wonderful experience xero degrees cafe heartshaped xero degree,POSITIVE,0.9997970461845398
"Amazing food. It's delicious. The presentation is beautiful! Food takes time to reach thouu.. on busy days!
Ambience is great! …",amazing food delicious presentation beautiful food takes time reach thouu busy days ambience great,POSITIVE,0.9998387098312378
"Been here multiple times and tried many dishes including their pasta pizza their frenxh fires also.
Service is very slow. …",multiple times tried many dishes including pasta pizza frenxh fires also service slow,NEGATIVE,0.981431245803833
"Xero degree rdc branch does not maintain hygiene. The tables are not cleaned, washrooms are bad, the staff do not listen, you have to call them six times for an order, THE STAFF IS UNHYGIENIC, SHABBY CLOTHES, SHABBY TABLES NO GLOVES, ZERO HYGIENE LEVEL OF RDC BRNACH. Please amend asap.",xero degree rdc branch maintain hygiene tables cleaned washrooms bad staff listen call six times order staff unhygienic shabby clothes shabby tables gloves zero hygiene level rdc brnach please amend asap,NEGATIVE,0.9989486336708069
"Pros:
1. Taste wise they are so good.
2. Presentation of the food was awesome. …",pros taste wise good presentation food awesome,POSITIVE,0.999871015548706
"Pasta was average
Cheese Fries was very tasty
Dumplings was good …",pasta average cheese fries tasty dumplings good,POSITIVE,0.9995236396789551
"I absolutely adore this place. Their food is mouthwatering. We ordered Pizza in a  Jar, Cheesy Garlic Bread, Cheesy French Fries and Caramel Popcorn Shake. And everything was worth every penny. …",absolutely adore place food mouthwatering ordered pizza jar cheesy garlic bread cheesy french fries caramel popcorn shake everything worth every penny,POSITIVE,0.9167240262031555
"Dear Mini,
Thank you for the wonderful feedback! We're thrilled to hear that you had a great time with us. We're glad you enjoyed the food, ambience, and that the kids had … More",dear mini thank wonderful feedback thrilled hear great time us glad enjoyed food ambience kids,POSITIVE,0.999880313873291
"I have to say, everything we ordered tasted so good. Loved the sliders and the butter paneer garlic bread. Pizza in a jar is top notch in taste. Really loved the taste of everything including drinks. We ordered raspberry mojito and hazelnut cold coffee, both are worth trying. Do visit this place.",say everything ordered tasted good loved sliders butter paneer garlic bread pizza jar top notch taste really loved taste everything including drinks ordered raspberry mojito hazelnut cold coffee worth trying visit place,POSITIVE,0.9987187385559082
"As you step into this place it looks a premium and quiet place where you could eat peacefully with your friends and family.
The service is also good and they provide all the sauces and cutlery on the …",step place looks premium quiet place could eat peacefully friends family service also good provide sauces cutlery,POSITIVE,0.9949756860733032
"Dear Ritisha,
We appreciate your detailed feedback on your recent visit to Xero Degrees. We're glad to hear you enjoyed the pasta and found the service cooperative. Your … More",dear ritisha appreciate detailed feedback recent visit xero degrees glad hear enjoyed pasta found service cooperative,POSITIVE,0.9989038705825806
"Had a great time in Xero Degrees RDC. The food is absolutely delicious. The fries and shakes are amazing.
It has a lovely ambience, great place to hangout with friends.",great time xero degrees rdc food absolutely delicious fries shakes amazing lovely ambience great place hangout friends,POSITIVE,0.9998741149902344
"Recently I Visited this place and ordered food from here. The quality and quantity of the food was amazing. The ambiance was also good. I recommend you to visit this place. Definitely try the chocolate shake. In addition, the ambiance here …",recently visited place ordered food quality quantity food amazing ambiance also good recommend visit place definitely try chocolate shake addition ambiance,POSITIVE,0.999538779258728
"The ambience of the place is soothing!!
Staff is also humble and polite.
Seating arrangement for couples and groups is so organised for small get …",ambience place soothing staff also humble polite seating arrangement couples groups organised small get,POSITIVE,0.9985470175743103
"The overall dining experience at Zero Degree was average. The pizza wasn't cooked properly, but the pasta was okay. I recommend trying the cheesy peri-peri fries, although they seem a bit expensive considering the quality and quantity. The …",overall dining experience zero degree average pizza wasnt cooked properly pasta okay recommend trying cheesy periperi fries although seem bit expensive considering quality quantity,NEGATIVE,0.9986862540245056
"Xero degree is one perfect place to have delicious food at pocket friendly prices. Visited this new outlet which is spacious and with beautiful interior. Most popular items on menu are Sugo rosa pasta , extravaganza pizza , slider burgers …",xero degree one perfect place delicious food pocket friendly prices visited new outlet spacious beautiful interior popular items menu sugo rosa pasta extravaganza pizza slider burgers,POSITIVE,0.9993937015533447
"Great place for friends and family. Casual ambience with good food and courteous staff. We had cappuccino, cheesy garlic bread , xero degree sandwich, blue berry cooler, hot chocolate. Would advise to stay away from coolers rest everything was good and tasty",great place friends family casual ambience good food courteous staff cappuccino cheesy garlic bread xero degree sandwich blue berry cooler hot chocolate would advise stay away coolers rest everything good tasty,POSITIVE,0.9949665665626526
"Amazing food!
Food at zero degrees never dissapoints tbh.
The pizza was nice and cheesy 8/10 …",amazing food food zero degrees never dissapoints tbh pizza nice cheesy,POSITIVE,0.9941985607147217
"""Xero Degree Cafe is a delightful fusion of cozy ambiance and mouthwatering delights. The heart-shaped pizza, aptly named Xero Degree Delight, steals the show with its visually appealing presentation and a burst of flavors in every slice. …",xero degree cafe delightful fusion cozy ambiance mouthwatering delights heartshaped pizza aptly named xero degree delight steals show visually appealing presentation burst flavors every slice,POSITIVE,0.9998061060905457
